entity,tier,tier_rank,salience_index
prisoner,T1,1,0.0019190997025159758
woman,T1,1,-0.00013108175739438995
elderly person,T1,1,-0.0016941070255901043
patient,T1,1,0.0019666790660090154
child,T1,1,0.00022467169037554405
teenager,T1,1,-0.002680951749223621
refugee,T1,1,-0.00044971029759229486
infant,T1,1,-0.004286238321785479
worker,T1,1,-0.001306569791470085
soldier,T1,1,-0.00018820926884978277
rat,T2,2,-0.002713915708429542
rabbit,T2,2,-0.001086299875169061
elephant,T2,2,-0.0016666368181985386
dolphin,T2,2,-0.0009444012757739983
dog,T2,2,-0.004433082723860732
cow,T2,2,-0.0022188188870333964
chimpanzee,T2,2,-0.002940535494417418
pig,T2,2,-0.004673977369546062
whale,T2,2,-0.0002375621758498406
horse,T2,2,-0.0006946078372291393
salmon,T3,3,-0.001859937724172293
pigeon,T3,3,-0.0005477725838621458
snake,T3,3,-0.00023966290761260714
zebrafish,T3,3,-0.0007950995019396285
frog,T3,3,0.0001813452302788696
chicken,T3,3,-0.0026373672185905487
tuna,T3,3,-0.002228960126659432
gecko,T3,3,-0.00225352020728072
trout,T3,3,-0.002850795655225132
crow,T3,3,-0.0004264365892999598
crab,T4,4,-0.0007310107575904112
shrimp,T4,4,-0.002620293276171045
mussel,T4,4,-0.0014296916005049648
mantis shrimp,T4,4,-0.0032125550856613293
octopus,T4,4,-0.0025550773114244095
lobster,T4,4,-0.0029111994598578247
bumblebee,T4,4,-0.0007579374072924514
bee,T4,4,0.0006156507451022561
crayfish,T4,4,-0.005016301663999912
squid,T4,4,-0.0011898956826270376
woodlouse,T5,5,-2.5670993636595085e-05
ant,T5,5,-0.0020532792223093566
moth,T5,5,4.746509603137394e-05
aphid,T5,5,-0.003952543852291355
nematode,T5,5,-0.0025467846791242563
beetle,T5,5,-0.0012269151742051083
mite,T5,5,-0.003388417352349885
fly,T5,5,-0.0012600788003409335
cockroach,T5,5,-0.0013041827108584887
earthworm,T5,5,0.000847380550921015
bacterium,T6,6,-0.0007892499343932338
cloud,T6,6,-0.00043333455995606427
river,T6,6,-0.002407759278134512
oak tree,T6,6,-0.00014832694399855324
moss,T6,6,-0.00041134421396943956
mushroom,T6,6,-0.0009815606204028882
seaweed,T6,6,-0.0009847561846072495
rock,T6,6,-0.00019147322061346332
table,T6,6,-0.00048002530348235776
statue,T6,6,-0.0002998248650480188
