layer,acc_6cls,std_6cls,acc_binary,f1_macro,spearman_r,null_mean,null_95
0,1.0,0.0,1.0,1.0,0.24961690382231638,0.1695833333333333,0.22145833333333334
1,1.0,0.0,1.0,1.0,0.06867282201657972,0.17177083333333332,0.2234375
2,1.0,0.0,1.0,1.0,0.20274316868229067,0.17395833333333333,0.22541666666666665
3,1.0,0.0,1.0,1.0,0.568997980962267,0.17614583333333333,0.22739583333333332
4,1.0,0.0,1.0,1.0,0.4498953192232548,0.17833333333333334,0.229375
5,1.0,0.0,1.0,1.0,0.22743029978619067,0.17723958333333334,0.22557291666666668
6,1.0,0.0,1.0,1.0,0.2711345645948994,0.17614583333333333,0.22177083333333336
7,1.0,0.0,1.0,1.0,0.2506735719946089,0.17505208333333333,0.21796875000000002
8,1.0,0.0,1.0,1.0,0.3438217050278277,0.17395833333333333,0.2141666666666667
9,1.0,0.0,1.0,1.0,0.23609348668509234,0.17395833333333333,0.2141666666666667
10,1.0,0.0,1.0,1.0,0.3301927999939478,0.17395833333333333,0.2141666666666667
