layer,acc_6cls,std_6cls,acc_binary,f1_macro,spearman_r,null_mean,null_95
0,1.0,0.0,1.0,1.0,0.227454113240448,0.16625,0.2047916666666667
1,1.0,0.0,1.0,1.0,0.004049732624655754,0.16578125,0.20786458333333335
2,1.0,0.0,1.0,1.0,0.09807395964927197,0.1653125,0.21093750000000003
3,1.0,0.0,1.0,1.0,0.40145175583544,0.16484375,0.2140104166666667
4,1.0,0.0,1.0,1.0,0.3291200096524581,0.164375,0.21708333333333335
5,1.0,0.0,1.0,1.0,0.27421972128864663,0.16536458333333331,0.21734375000000003
6,1.0,0.0,1.0,1.0,0.3325358710836894,0.16635416666666666,0.2176041666666667
7,1.0,0.0,1.0,1.0,0.4213130532294039,0.16734375,0.21786458333333336
8,1.0,0.0,1.0,1.0,0.46353591772472785,0.16833333333333333,0.21812500000000004
9,1.0,0.0,1.0,1.0,0.3656028183406613,0.16833333333333333,0.21812500000000004
10,1.0,0.0,1.0,1.0,0.38437244867928316,0.16833333333333333,0.21812500000000004
