layer,acc_6cls,std_6cls,acc_binary,f1_macro,spearman_r,null_mean,null_95
0,1.0,0.0,1.0,1.0,0.2444178438794921,0.16877450980392156,0.18676470588235297
1,1.0,0.0,1.0,1.0,0.06865832419795481,0.16814950980392157,0.1859558823529412
2,1.0,0.0,1.0,1.0,0.19945148018250405,0.16752450980392156,0.18514705882352944
3,1.0,0.0,1.0,1.0,0.5465643138088204,0.16689950980392154,0.1843382352941177
4,1.0,0.0,1.0,1.0,0.3679486469476209,0.16627450980392156,0.1835294117647059
5,1.0,0.0,1.0,1.0,0.26555579913547905,0.16598039215686272,0.18276960784313728
6,1.0,0.0,1.0,1.0,0.3133978770970196,0.1656862745098039,0.18200980392156868
7,1.0,0.0,1.0,1.0,0.34790442838504737,0.16539215686274508,0.18125000000000005
8,1.0,0.0,1.0,1.0,0.40526659854556085,0.16509803921568625,0.18049019607843142
9,1.0,0.0,1.0,1.0,0.3015070331690865,0.16509803921568625,0.18049019607843142
10,1.0,0.0,1.0,1.0,0.3247564212668398,0.16509803921568625,0.18049019607843142
