config,layer,direction,n,mean_delta,median_delta,std_delta,wilcoxon_stat,wilcoxon_p,t_stat,t_p,significant,effect_sign
H→T5 (human→min-evidence),0,forward,35,-0.0002711724534882316,-0.00045615972771884117,0.0007024215065704597,168.0,0.016039448842294537,-2.283924758579873,0.028743485504430122,True,-
H→T5 (human→min-evidence),0,reverse,35,-0.0022953423427121526,-0.0024783732942523784,0.0008914799350471641,0.0,2.469027420703735e-07,-15.232455487956049,9.382855145421925e-17,True,-
H→T5 (human→min-evidence),4,forward,35,-0.0010923377700107397,-0.0011078125826315954,0.0011888927607516086,44.0,9.026501551053273e-06,-5.435610015314757,4.666547822005722e-06,True,-
H→T5 (human→min-evidence),4,reverse,35,-0.0006633743930348959,-0.0009624699014239013,0.0022767504706613104,196.0,0.051254020290160275,-1.723761951883899,0.09383430586148456,False,-
H→T5 (human→min-evidence),5,forward,35,-0.001000243344320292,-0.0008525497287337203,0.0013332852568816015,70.0,5.9860230677475974e-05,-4.43829960390743,9.07166864611753e-05,True,-
H→T5 (human→min-evidence),5,reverse,35,-0.0006333463970122466,-0.0010615465434966609,0.0021639274087554136,197.0,0.053240416134149364,-1.7315404388810747,0.09242136983779964,False,-
H→T5 (human→min-evidence),7,forward,35,-0.0008850216637386308,-0.0007528218120569363,0.0010895068402976742,84.0,0.00015431157601133967,-4.805714456110036,3.063591742662108e-05,True,-
H→T5 (human→min-evidence),7,reverse,35,-0.0002107439078664746,-0.0009070411324501038,0.0024592067455285584,207.0,0.07686799468651363,-0.5069837153818835,0.6154388049795055,False,-
H→T5 (human→min-evidence),11,forward,35,-0.00015217132417352073,-0.00014899553207214922,0.0006032459167390707,220.0,0.11966024516021345,-1.492356051702648,0.14482758351154493,False,-
H→T5 (human→min-evidence),11,reverse,35,-0.0004240157894238499,-0.00096781829779502,0.00176906177299625,198.0,0.05529071422779558,-1.4179896246793071,0.1652945355630086,False,-
H→T4 (human→welfare+),0,forward,25,0.00011922405817472282,0.00018314820454179426,0.00035667941425018916,101.0,0.09789415904906036,1.671305567569065,0.10765174725189486,False,+
H→T4 (human→welfare+),0,reverse,25,-0.002199426217599694,-0.0024782840355328517,0.000738324779758074,0.0,1.2234719130609672e-05,-14.894706759810886,1.2655249885672364e-13,True,-
H→T4 (human→welfare+),4,forward,25,-0.0005287489476904738,-0.00029440644721034914,0.0008998804921427553,64.0,0.008027032521948314,-2.9378842652285995,0.007189182163195696,True,-
H→T4 (human→welfare+),4,reverse,25,-0.0014276521757710726,-0.001613015789189376,0.001013465612357916,6.0,2.532487934806282e-05,-7.043416956444706,2.7832183000934975e-07,True,-
H→T4 (human→welfare+),5,forward,25,-0.00030371092027053236,-0.0003694472834467888,0.0008473528488867697,100.0,0.09255670456299825,-1.7921160037966468,0.085731747625394,False,-
H→T4 (human→welfare+),5,reverse,25,-0.0012656184489605949,-0.0014130294439382851,0.0009199000719801115,7.0,2.8520161551196602e-05,-6.879108326605055,4.093674499119508e-07,True,-
H→T4 (human→welfare+),7,forward,25,-0.0005855390464421362,-0.0006399700505426154,0.0009074710135808439,58.0,0.004917198949329764,-3.226213497065999,0.003604276731760789,True,-
H→T4 (human→welfare+),7,reverse,25,-0.001182878243853338,-0.0009596568124834448,0.000916584385014206,11.0,4.555783103031935e-05,-6.452642349100268,1.1317459606345596e-06,True,-
H→T4 (human→welfare+),11,forward,25,-0.0004239741386845708,-0.0004749695799546316,0.000936397445339189,92.0,0.05777957112359726,-2.2638578351257443,0.03290161282636825,False,-
H→T4 (human→welfare+),11,reverse,25,-0.0007950585422804579,-0.0006891458033351228,0.0008998675061798793,34.0,0.0005435539896223413,-4.4176422463327025,0.0001826295744774745,True,-
H→T3 (human→vertebrate),0,forward,20,0.0005069345542557891,0.0005257637193940567,0.0012574557976682034,62.0,0.10830370105951513,1.802910488880023,0.08728681313340093,False,+
