layer,ve_pc1,ve_pc2,spearman_r
0,0.056367207,0.044175446,0.24309173611309237
1,0.054161586,0.046184704,0.059834018895491836
2,0.051672883,0.047537755,0.18947813092717836
3,0.05235,0.04889705,0.5278096429980481
4,0.058261886,0.05334781,0.3518146004969195
5,0.06470293,0.0551257,0.26250756071066184
6,0.06558202,0.05307614,0.3133724436483831
7,0.06773467,0.0551909,0.3571172386784144
8,0.07029032,0.055162985,0.4155494496732988
9,0.06945894,0.053411637,0.31305515859705646
10,0.072710484,0.056144007,0.332003033082781
11,0.07245677,0.05642015,0.3102874969728142
12,0.07188075,0.057699297,0.260941653173062
13,0.07276584,0.05890089,0.12164504587339638
14,0.07376733,0.059654575,0.12300272966172311
15,0.070507556,0.056187093,0.12510954293710455
16,0.069886945,0.05488449,0.20774991303861218
17,0.073097244,0.0561826,0.27157765118355015
18,0.07349817,0.05422805,0.30406892152469966
19,0.076312885,0.0524502,0.3068239164182131
20,0.07697823,0.049933106,0.33106008759056965
21,0.07906073,0.048677232,0.3336645621380881
22,0.07844891,0.04871627,0.36200251285753693
23,0.08816115,0.05929266,0.3604285320038322
