mean_acc,std_acc,fold_accs,mean_f1,std_f1,chance_level,layer,probe_label
1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,0.5,0,binary_sentient
1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,0.5,1,binary_sentient
1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,0.5,2,binary_sentient
1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,0.5,3,binary_sentient
1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,0.5,4,binary_sentient
1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,0.5,5,binary_sentient
1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,0.5,6,binary_sentient
1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,0.5,7,binary_sentient
1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,0.5,8,binary_sentient
1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,0.5,9,binary_sentient
1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,0.5,10,binary_sentient
1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,0.5,11,binary_sentient
