layer,test_acc,train_acc,train_label,test_label,n_train,n_test
0,1.0,1.0,neutral,welfare,240,1020
1,1.0,1.0,neutral,welfare,240,1020
2,1.0,1.0,neutral,welfare,240,1020
3,1.0,1.0,neutral,welfare,240,1020
4,0.9990196078431373,1.0,neutral,welfare,240,1020
5,1.0,1.0,neutral,welfare,240,1020
6,1.0,1.0,neutral,welfare,240,1020
7,1.0,1.0,neutral,welfare,240,1020
8,1.0,1.0,neutral,welfare,240,1020
9,1.0,1.0,neutral,welfare,240,1020
10,1.0,1.0,neutral,welfare,240,1020
11,1.0,1.0,neutral,welfare,240,1020
