layer,tier,accuracy
0,T1,1.0
0,T2,1.0
0,T3,1.0
0,T4,1.0
0,T5,1.0
0,T6,1.0
1,T1,1.0
1,T2,1.0
1,T3,1.0
1,T4,1.0
1,T5,1.0
1,T6,1.0
2,T1,1.0
2,T2,1.0
2,T3,1.0
2,T4,1.0
2,T5,1.0
2,T6,1.0
3,T1,1.0
3,T2,1.0
3,T3,1.0
3,T4,1.0
3,T5,1.0
3,T6,1.0
4,T1,1.0
4,T2,1.0
4,T3,1.0
4,T4,1.0
4,T5,1.0
4,T6,1.0
5,T1,1.0
5,T2,1.0
5,T3,1.0
5,T4,1.0
5,T5,1.0
5,T6,1.0
6,T1,1.0
6,T2,1.0
6,T3,1.0
6,T4,1.0
6,T5,1.0
6,T6,1.0
7,T1,1.0
7,T2,1.0
7,T3,1.0
7,T4,1.0
7,T5,1.0
7,T6,1.0
8,T1,1.0
8,T2,1.0
8,T3,1.0
8,T4,1.0
8,T5,1.0
8,T6,1.0
9,T1,1.0
9,T2,1.0
9,T3,1.0
9,T4,1.0
9,T5,1.0
9,T6,1.0
10,T1,1.0
10,T2,1.0
10,T3,1.0
10,T4,1.0
10,T5,1.0
10,T6,1.0
11,T1,1.0
11,T2,1.0
11,T3,1.0
11,T4,1.0
11,T5,1.0
11,T6,1.0
