layer,frac_depth,probe_6,probe_binary,probe_f1,gen_w2n,spearman_r,shuffle_mean,shuffle_95
0,0.0,1.0,1.0,1.0,1.0,0.24343690670997256,0.16883333333333334,0.18350000000000002
1,0.043478260869565216,1.0,1.0,1.0,1.0,0.059936758628065925,0.16759999999999997,0.18240000000000003
2,0.08695652173913043,1.0,1.0,1.0,1.0,0.18928965089401267,0.16923333333333332,0.18763333333333335
3,0.13043478260869565,1.0,1.0,1.0,1.0,0.5269432162800026,0.1682,0.18276666666666666
4,0.17391304347826086,1.0,1.0,1.0,1.0,0.3517909720856776,0.1689,0.18066666666666667
5,0.21739130434782608,1.0,1.0,1.0,1.0,0.2624866976849279,0.16830000000000003,0.1831
6,0.2608695652173913,1.0,1.0,1.0,1.0,0.31330108662678086,0.16616666666666668,0.17736666666666667
7,0.30434782608695654,1.0,1.0,1.0,1.0,0.35709723090805173,0.16883333333333334,0.18286666666666668
8,0.34782608695652173,1.0,1.0,1.0,1.0,0.41554930745975693,0.16819999999999996,0.17953333333333335
9,0.3913043478260869,1.0,1.0,1.0,1.0,0.3130469072761259,0.1681333333333333,0.18000000000000002
10,0.43478260869565216,1.0,1.0,1.0,1.0,0.33197495647797953,0.16793333333333332,0.17896666666666666
11,0.4782608695652174,1.0,1.0,1.0,1.0,0.310133187399645,0.16829999999999995,0.18293333333333334
12,0.5217391304347826,1.0,1.0,1.0,1.0,0.2606710476739668,0.1659,0.1801
13,0.5652173913043478,1.0,1.0,1.0,1.0,0.12130961948211529,0.16676666666666667,0.1814
14,0.6086956521739131,1.0,1.0,1.0,1.0,0.12316853497650256,0.16693333333333332,0.17813333333333337
15,0.6521739130434783,1.0,1.0,1.0,1.0,0.12371935638452189,0.1678,0.18013333333333337
16,0.6956521739130435,1.0,1.0,1.0,1.0,0.20712683907021595,0.16839999999999997,0.18220000000000003
17,0.7391304347826086,1.0,1.0,1.0,1.0,0.2701657302750466,0.1684,0.1804666666666667
18,0.7826086956521738,1.0,1.0,1.0,1.0,0.3047070105504332,0.16863333333333333,0.18483333333333335
19,0.8260869565217391,1.0,1.0,1.0,1.0,0.3079037580346175,0.16773333333333332,0.18363333333333334
20,0.8695652173913043,1.0,1.0,1.0,1.0,0.3327439591729721,0.16576666666666667,0.18150000000000002
21,0.9130434782608695,1.0,1.0,1.0,1.0,0.3348075277313744,0.16870000000000002,0.18610000000000002
22,0.9565217391304348,1.0,1.0,1.0,1.0,0.3655227781815648,0.16736666666666664,0.18040000000000003
23,1.0,1.0,1.0,1.0,1.0,0.36394064922241914,0.16933333333333334,0.18173333333333336
