layer,frac_depth,probe_6,probe_binary,probe_f1,gen_w2n,spearman_r,shuffle_mean,shuffle_95
0,0.0,1.0,1.0,1.0,1.0,0.2813822657051558,0.16776666666666668,0.18213333333333337
1,0.09090909090909091,1.0,1.0,1.0,1.0,0.5194354820442295,0.16846666666666668,0.18206666666666668
2,0.18181818181818182,1.0,1.0,1.0,1.0,0.6731038922318259,0.16793333333333332,0.17876666666666666
3,0.2727272727272727,1.0,1.0,1.0,1.0,0.32259478053828267,0.1699,0.18560000000000001
4,0.36363636363636365,1.0,1.0,1.0,1.0,0.48494107512725254,0.16893333333333332,0.18283333333333335
5,0.4545454545454546,1.0,1.0,1.0,1.0,0.4690420083351115,0.16963333333333336,0.1841
6,0.5454545454545454,1.0,1.0,1.0,1.0,0.4559746939853841,0.1696666666666667,0.17693333333333333
7,0.6363636363636364,1.0,1.0,1.0,1.0,0.4186296996097017,0.16796666666666665,0.18000000000000002
8,0.7272727272727273,1.0,1.0,1.0,1.0,0.35654198914369395,0.16873333333333335,0.18020000000000003
9,0.8181818181818182,1.0,1.0,1.0,1.0,0.4053596196268207,0.16949999999999998,0.18420000000000003
10,0.9090909090909092,1.0,1.0,1.0,1.0,0.4031842405759197,0.17093333333333333,0.18830000000000002
11,1.0,1.0,1.0,1.0,1.0,0.1758689431452661,0.1694666666666667,0.18676666666666666
