entity,tier,layer,pc1,pc2,method
ant,T5,0,6.000359535217285,-2.2478623390197754,pca_entity_mean
aphid,T5,0,5.789539337158203,-7.845673084259033,pca_entity_mean
bacterium,T6,0,-2.7471225261688232,-10.245099067687988,pca_entity_mean
bee,T4,0,-9.17861557006836,-5.228714466094971,pca_entity_mean
beetle,T5,0,-0.4083173871040344,-11.138541221618652,pca_entity_mean
bumblebee,T4,0,5.816571235656738,-7.275556564331055,pca_entity_mean
chicken,T3,0,-10.8978910446167,3.254877805709839,pca_entity_mean
child,T1,0,13.044384956359863,10.283443450927734,pca_entity_mean
chimpanzee,T2,0,6.762432098388672,-3.8597140312194824,pca_entity_mean
cloud,T6,0,8.396512985229492,-8.277769088745117,pca_entity_mean
cockroach,T5,0,7.103846549987793,-5.569552421569824,pca_entity_mean
cow,T2,0,-0.4696084260940552,13.779911994934082,pca_entity_mean
crab,T4,0,-30.5366268157959,-7.7561211585998535,pca_entity_mean
crayfish,T4,0,2.2368059158325195,-3.5793895721435547,pca_entity_mean
crow,T3,0,2.5337655544281006,-2.266199827194214,pca_entity_mean
dog,T2,0,1.0996440649032593,12.45207405090332,pca_entity_mean
dolphin,T2,0,2.1467134952545166,1.7648591995239258,pca_entity_mean
earthworm,T5,0,1.8771742582321167,-6.757083415985107,pca_entity_mean
elderly person,T1,0,12.058871269226074,1.9888489246368408,pca_entity_mean
elephant,T2,0,-5.87551736831665,19.817840576171875,pca_entity_mean
fly,T5,0,-1.2616095542907715,-4.194348335266113,pca_entity_mean
frog,T3,0,-16.132646560668945,12.743794441223145,pca_entity_mean
gecko,T3,0,6.878461837768555,-6.3802103996276855,pca_entity_mean
horse,T2,0,1.1123290061950684,15.411449432373047,pca_entity_mean
infant,T1,0,9.07448959350586,15.90005874633789,pca_entity_mean
lobster,T4,0,1.1437207460403442,-9.39775562286377,pca_entity_mean
mantis shrimp,T4,0,-2.8966164588928223,-9.147674560546875,pca_entity_mean
mite,T5,0,10.251296997070312,-7.132456302642822,pca_entity_mean
moss,T6,0,-9.205549240112305,-23.4881534576416,pca_entity_mean
moth,T5,0,-11.645964622497559,-15.493715286254883,pca_entity_mean
mushroom,T6,0,-15.894818305969238,-20.357412338256836,pca_entity_mean
mussel,T4,0,6.257241725921631,-7.472784042358398,pca_entity_mean
