sentence_id,entity,tier,template_id,template_type,n_tokens,n_entity_tokens,resid_post_norm,mlp_out_norm,attn_to_mean
T01_child,child,T1,T01,pain_suffering,6,1,87.8125,77.5625,0.062408447265625
T02_child,child,T1,T02,pain_suffering,9,1,98.25,89.5625,0.0281219482421875
T03_child,child,T1,T03,pain_suffering,10,1,87.8125,77.5625,0.050689697265625
T04_child,child,T1,T04,pain_suffering,12,1,95.6875,85.1875,0.0281829833984375
T05_child,child,T1,T05,fear,9,1,87.8125,77.5625,0.05328369140625
T06_child,child,T1,T06,fear,10,1,87.8125,77.5625,0.04302978515625
T07_child,child,T1,T07,fear,13,1,104.1875,94.6875,0.023193359375
T08_child,child,T1,T08,fear,8,1,87.8125,77.5625,0.045013427734375
T09_child,child,T1,T09,scientific_welfare,9,1,82.9375,75.125,0.02642822265625
T10_child,child,T1,T10,scientific_welfare,12,1,87.25,80.625,0.0297088623046875
T11_child,child,T1,T11,scientific_welfare,12,1,79.5625,72.0,0.021728515625
T12_child,child,T1,T12,scientific_welfare,11,1,92.0625,83.9375,0.037200927734375
T13_child,child,T1,T13,moral_consideration,10,1,87.8125,77.5625,0.047210693359375
T14_child,child,T1,T14,moral_consideration,13,1,80.0,73.5625,0.024871826171875
T15_child,child,T1,T15,moral_consideration,12,1,89.875,82.25,0.01232147216796875
T16_child,child,T1,T16,moral_consideration,13,1,81.75,75.3125,0.0279388427734375
T17_child,child,T1,T17,neutral_control,7,1,87.8125,77.5625,0.056427001953125
T18_child,child,T1,T18,neutral_control,8,1,87.8125,77.5625,0.052398681640625
T19_child,child,T1,T19,neutral_control,12,1,98.25,89.0625,0.0390625
T20_child,child,T1,T20,neutral_control,8,1,87.8125,77.5625,0.052764892578125
T21_child,child,T1,T21,cross_framing,14,1,87.8125,77.5625,0.036651611328125
T22_child,child,T1,T22,cross_framing,15,1,73.9375,67.125,0.03228759765625
T23_child,child,T1,T23,cross_framing,17,1,69.625,63.96875,0.0227203369140625
T24_child,child,T1,T24,cross_framing,21,1,89.0625,81.0625,0.020355224609375
T25_child,child,T1,T25,cross_framing,19,1,87.8125,77.5625,0.038482666015625
T01_elderly_person,elderly person,T1,T01,pain_suffering,7,2,102.375,92.375,0.049560546875
T02_elderly_person,elderly person,T1,T02,pain_suffering,10,2,110.75,101.5625,0.0260772705078125
T03_elderly_person,elderly person,T1,T03,pain_suffering,11,2,102.375,92.375,0.0435791015625
T04_elderly_person,elderly person,T1,T04,pain_suffering,13,2,101.0625,93.375,0.02337646484375
T05_elderly_person,elderly person,T1,T05,fear,10,2,102.375,92.375,0.04473876953125
T06_elderly_person,elderly person,T1,T06,fear,11,2,102.375,92.375,0.037078857421875
T07_elderly_person,elderly person,T1,T07,fear,14,2,99.375,92.0,0.0188446044921875
T08_elderly_person,elderly person,T1,T08,fear,9,2,102.375,92.375,0.0411376953125
T09_elderly_person,elderly person,T1,T09,scientific_welfare,10,2,93.875,86.5625,0.024932861328125
T10_elderly_person,elderly person,T1,T10,scientific_welfare,13,2,96.4375,89.0625,0.025238037109375
T11_elderly_person,elderly person,T1,T11,scientific_welfare,13,2,86.6875,79.4375,0.019866943359375
T12_elderly_person,elderly person,T1,T12,scientific_welfare,12,2,98.9375,91.1875,0.030181884765625
T13_elderly_person,elderly person,T1,T13,moral_consideration,11,2,102.375,92.375,0.039581298828125
T14_elderly_person,elderly person,T1,T14,moral_consideration,14,2,95.875,88.125,0.0218048095703125
T15_elderly_person,elderly person,T1,T15,moral_consideration,13,2,87.75,77.8125,0.0122833251953125
T16_elderly_person,elderly person,T1,T16,moral_consideration,14,2,104.375,94.3125,0.0255126953125
T17_elderly_person,elderly person,T1,T17,neutral_control,8,2,102.375,92.375,0.0465087890625
T18_elderly_person,elderly person,T1,T18,neutral_control,9,2,102.375,92.375,0.043304443359375
T19_elderly_person,elderly person,T1,T19,neutral_control,13,2,110.4375,100.375,0.0323486328125
T20_elderly_person,elderly person,T1,T20,neutral_control,9,2,102.375,92.375,0.043914794921875
T21_elderly_person,elderly person,T1,T21,cross_framing,15,2,102.375,92.375,0.032318115234375
T22_elderly_person,elderly person,T1,T22,cross_framing,16,2,101.5,91.25,0.028961181640625
T23_elderly_person,elderly person,T1,T23,cross_framing,18,2,96.875,89.1875,0.020660400390625
T24_elderly_person,elderly person,T1,T24,cross_framing,22,2,103.9375,95.3125,0.018310546875
T25_elderly_person,elderly person,T1,T25,cross_framing,20,2,102.375,92.375,0.0307769775390625
T01_infant,infant,T1,T01,pain_suffering,6,1,81.5625,74.8125,0.060821533203125
T02_infant,infant,T1,T02,pain_suffering,9,1,87.625,78.25,0.0291290283203125
T03_infant,infant,T1,T03,pain_suffering,10,1,81.5625,74.8125,0.04901123046875
T04_infant,infant,T1,T04,pain_suffering,12,1,93.5,85.625,0.0277099609375
T05_infant,infant,T1,T05,fear,9,1,81.5625,74.8125,0.050018310546875
T06_infant,infant,T1,T06,fear,10,1,81.5625,74.8125,0.041229248046875
T07_infant,infant,T1,T07,fear,13,1,80.125,73.5625,0.022369384765625
T08_infant,infant,T1,T08,fear,8,1,81.5625,74.8125,0.043060302734375
T09_infant,infant,T1,T09,scientific_welfare,9,1,70.3125,66.25,0.025115966796875
T10_infant,infant,T1,T10,scientific_welfare,12,1,76.0,71.3125,0.028839111328125
T11_infant,infant,T1,T11,scientific_welfare,12,1,68.9375,65.5,0.022003173828125
T12_infant,infant,T1,T12,scientific_welfare,11,1,79.8125,74.4375,0.0352783203125
T13_infant,infant,T1,T13,moral_consideration,10,1,81.5625,74.8125,0.04144287109375
