layer,acc_6cls,std_6cls,acc_binary,f1_macro,spearman_r,null_mean,null_95
0,1.0,0.0,1.0,1.0,0.29523851594451844,0.1664705882352941,0.1837745098039216
1,1.0,0.0,1.0,1.0,0.5595519344082436,0.1666176470588235,0.18415441176470593
2,1.0,0.0,1.0,1.0,0.6725699020560244,0.16676470588235293,0.18453431372549023
3,1.0,0.0,1.0,1.0,0.2973441522082247,0.16691176470588232,0.18491421568627453
4,1.0,0.0,1.0,1.0,0.47915115425896004,0.16705882352941173,0.18529411764705886
5,1.0,0.0,1.0,1.0,0.4780358975425674,0.16631127450980387,0.18453431372549023
6,1.0,0.0,1.0,1.0,0.42621650923127263,0.16556372549019605,0.18377450980392157
7,1.0,0.0,1.0,1.0,0.4078550269474045,0.16481617647058822,0.18301470588235294
8,1.0,0.0,1.0,1.0,0.33292876743922206,0.16406862745098036,0.1822549019607843
9,1.0,0.0,1.0,1.0,0.3834398498368899,0.16406862745098036,0.1822549019607843
10,1.0,0.0,1.0,1.0,0.38006501645147667,0.16406862745098036,0.1822549019607843
