layer,ve_pc1,ve_pc2,spearman_r
0,0.06205567,0.054397248,0.2808189193444098
1,0.060854558,0.058185793,0.5194480777627207
2,0.06553449,0.056938503,0.6731876995831161
3,0.07294421,0.0595388,0.32257228985908687
4,0.076953016,0.06149776,0.48494826348345
5,0.07972429,0.0679166,0.46901953942538055
6,0.091699146,0.05977637,0.45598560125538884
7,0.086203866,0.058698364,0.4185882916325111
8,0.08226807,0.057359587,0.3565438270229764
9,0.09219058,0.059627015,0.40536322566018584
10,0.09402382,0.061311457,0.40318420115255843
11,0.64509124,0.024054442,0.1758689517435028
