entity,tier,layer,pc1,pc2,method
ant,T5,0,5.96065092086792,4.381194591522217,pca_entity_mean
aphid,T5,0,7.700784683227539,4.637357711791992,pca_entity_mean
bacterium,T6,0,-1.1273791790008545,2.858389377593994,pca_entity_mean
bee,T4,0,-4.116496562957764,5.425041675567627,pca_entity_mean
beetle,T5,0,3.4636566638946533,6.467339038848877,pca_entity_mean
bumblebee,T4,0,8.525687217712402,3.5560476779937744,pca_entity_mean
chicken,T3,0,-9.77514934539795,0.3315114676952362,pca_entity_mean
child,T1,0,1.853553056716919,-14.81688404083252,pca_entity_mean
chimpanzee,T2,0,7.433432102203369,2.757634162902832,pca_entity_mean
cloud,T6,0,7.699056625366211,1.7115787267684937,pca_entity_mean
cockroach,T5,0,6.708034992218018,3.8179843425750732,pca_entity_mean
cow,T2,0,-4.234158992767334,-4.550024032592773,pca_entity_mean
crab,T4,0,-9.467068672180176,5.810835361480713,pca_entity_mean
crayfish,T4,0,4.07776403427124,2.672043800354004,pca_entity_mean
crow,T3,0,0.3984823524951935,1.34125554561615,pca_entity_mean
dog,T2,0,-6.082214832305908,-4.52382230758667,pca_entity_mean
dolphin,T2,0,3.567674398422241,1.1230534315109253,pca_entity_mean
earthworm,T5,0,1.8822954893112183,4.461966514587402,pca_entity_mean
elderly person,T1,0,5.255781173706055,-8.506205558776855,pca_entity_mean
elephant,T2,0,-7.186278820037842,-1.898261308670044,pca_entity_mean
fly,T5,0,-0.21719123423099518,4.187997817993164,pca_entity_mean
frog,T3,0,-10.771110534667969,3.3472516536712646,pca_entity_mean
gecko,T3,0,6.81576681137085,4.745582580566406,pca_entity_mean
horse,T2,0,-6.895122051239014,-5.277288436889648,pca_entity_mean
infant,T1,0,-2.73524808883667,-16.321809768676758,pca_entity_mean
lobster,T4,0,6.144797325134277,5.497856616973877,pca_entity_mean
mantis shrimp,T4,0,1.5677825212478638,4.55044412612915,pca_entity_mean
mite,T5,0,10.156549453735352,2.7715437412261963,pca_entity_mean
moss,T6,0,-1.0408532619476318,9.728631019592285,pca_entity_mean
moth,T5,0,-3.079072952270508,8.805499076843262,pca_entity_mean
mushroom,T6,0,-6.1194233894348145,9.460786819458008,pca_entity_mean
mussel,T4,0,7.790415287017822,2.79253888130188,pca_entity_mean
nematode,T5,0,3.0558526515960693,6.015466690063477,pca_entity_mean
oak tree,T6,0,3.251542329788208,5.763001441955566,pca_entity_mean
octopus,T4,0,3.4504427909851074,4.22910213470459,pca_entity_mean
patient,T1,0,4.829735279083252,-12.095497131347656,pca_entity_mean
pig,T2,0,-10.356841087341309,-5.9770941734313965,pca_entity_mean
pigeon,T3,0,-2.0076076984405518,-2.493098020553589,pca_entity_mean
prisoner,T1,0,2.671044111251831,-13.25019645690918,pca_entity_mean
rabbit,T2,0,-6.634348392486572,-2.2075843811035156,pca_entity_mean
rat,T2,0,-3.718778610229492,-1.8805699348449707,pca_entity_mean
refugee,T1,0,-0.20067842304706573,-14.152968406677246,pca_entity_mean
river,T6,0,-3.4188385009765625,0.45182183384895325,pca_entity_mean
rock,T6,0,6.405477523803711,5.068799018859863,pca_entity_mean
salmon,T3,0,-13.861568450927734,3.995588779449463,pca_entity_mean
seaweed,T6,0,2.725923776626587,5.740157127380371,pca_entity_mean
shrimp,T4,0,-14.813667297363281,4.390472412109375,pca_entity_mean
snake,T3,0,-8.471489906311035,1.7032873630523682,pca_entity_mean
soldier,T1,0,2.192965269088745,-12.769975662231445,pca_entity_mean
squid,T4,0,8.401278495788574,3.686229944229126,pca_entity_mean
statue,T6,0,4.734585762023926,-1.7734198570251465,pca_entity_mean
table,T6,0,9.404711723327637,0.0448371097445488,pca_entity_mean
teenager,T1,0,3.8397767543792725,-13.74217700958252,pca_entity_mean
trout,T3,0,-17.214073181152344,4.950652599334717,pca_entity_mean
tuna,T3,0,8.979421615600586,2.390397071838379,pca_entity_mean
whale,T2,0,-10.704824447631836,-3.015005350112915,pca_entity_mean
woman,T1,0,5.926815032958984,-9.643865585327148,pca_entity_mean
woodlouse,T5,0,7.732496738433838,4.2181243896484375,pca_entity_mean
worker,T1,0,4.08499813079834,-9.725823402404785,pca_entity_mean
zebrafish,T3,0,-14.439760208129883,-1.2677292823791504,pca_entity_mean
ant,T5,1,5.818917751312256,-2.3234262466430664,pca_entity_mean
aphid,T5,1,7.868660926818848,-1.9451918601989746,pca_entity_mean
