layer,head,head_label,d_t1_t6,d_t1_t5,spearman_r,spearman_p,f_stat,f_p,abs_d_t1_t6,abs_spearman,t1_mean,t6_mean,t1_t6_diff,composite,spearman_p_corrected,f_p_corrected
6,0,L06H00,1.4107768535614014,1.507838249206543,-0.365929548721565,1.1294061303130625e-33,129.1902313232422,0.0,1.4107768535614014,0.365929548721565,1.0787987,0.26276824,0.8160304,0.8883532011414832,4.33691954040216e-31,0.0
5,4,L05H04,1.352408528327942,1.4189374446868896,-0.28929536977673315,4.0853857917669676e-21,120.11112976074219,0.0,1.352408528327942,0.28929536977673315,0.3776789,0.16671206,0.21096684,0.8208519490523375,1.5687881440385156e-18,0.0
4,7,L04H07,1.1839476823806763,1.2213224172592163,-0.27339047528404953,6.078018525947132e-19,54.78268051147461,0.0,1.1839476823806763,0.27339047528404953,0.1955868,0.11076752,0.08481928,0.7286690788323629,2.3339591139636984e-16,0.0
0,9,L00H09,1.0977978706359863,0.8035054802894592,-0.32080004525534556,7.602628999287212e-26,30.055025100708008,1.5184309737684688e-28,1.0977978706359863,0.32080004525534556,0.84229386,0.4891178,0.35317606,0.7092989579456659,2.9194095357262893e-23,5.83077493927092e-26
7,6,L07H06,1.1678061485290527,1.3595858812332153,-0.22387532904219648,4.716068950450755e-13,101.40263366699219,0.0,1.1678061485290527,0.22387532904219648,0.3145642,0.074417576,0.24014662,0.6958407387856246,1.81097047697309e-10,0.0
7,10,L07H10,0.9918131828308105,1.3962682485580444,-0.22182391367142923,7.764436428486703e-13,62.097816467285156,0.0,0.9918131828308105,0.22182391367142923,0.64432025,0.22970074,0.4146195,0.6068185482511199,2.981543588538894e-10,0.0
8,7,L08H07,0.9873318672180176,1.3834505081176758,-0.18677918217025855,1.8448820049414928e-09,52.50990676879883,0.0,0.9873318672180176,0.18677918217025855,0.76932085,0.40263507,0.36668578,0.587055524694138,7.084346898975333e-07,0.0
2,1,L02H01,0.8433906435966492,0.9933735728263855,-0.321594509228013,5.676924849864311e-26,31.15890121459961,1.44593990353405e-29,0.8433906435966492,0.321594509228013,1.0716406,0.7447174,0.3269232,0.5824925764123311,2.1799391423478956e-23,5.552409229570752e-27
5,2,L05H02,0.8304716944694519,0.7940649390220642,-0.2992432390152285,1.5132466658693882e-22,23.20522117614746,4.066531013413237e-22,0.8304716944694519,0.2992432390152285,0.06837537,0.041237053,0.027138319,0.5648574667423402,5.810867196938451e-20,1.561547909150683e-19
8,4,L08H04,0.7344733476638794,1.1312906742095947,-0.3110042462809073,2.594248494503701e-24,45.17271041870117,3.569107188635309e-42,0.7344733476638794,0.3110042462809073,1.8949723,0.8777806,1.0171916,0.5227387969723933,9.961914218894213e-22,1.3705371604359587e-39
5,7,L05H07,0.7870579957962036,1.006874680519104,-0.24508900353173455,2.033062402418426e-15,54.60033416748047,0.0,0.7870579957962036,0.24508900353173455,0.054623146,0.027665464,0.026957681,0.5160734996639691,7.806959625286756e-13,0.0
9,7,L09H07,-0.8491820096969604,-0.12595057487487793,0.14630017857884156,2.7055917151211567e-06,22.581527709960938,1.5924307215541573e-21,0.8491820096969604,0.14630017857884156,0.089774944,0.4440602,-0.35428527,0.497741094137901,0.001038947218606524,6.114933970767964e-19
3,5,L03H05,0.82313072681427,0.21130536496639252,-0.1379844149282509,9.750373082802441e-06,17.925077438354492,4.623487983556971e-17,0.82313072681427,0.1379844149282509,0.37255,0.23362666,0.13892335,0.48055757087126044,0.0037441432637961374,1.7754193856858768e-14
6,1,L06H01,0.7427318692207336,0.8668298125267029,-0.20106297618980853,9.181596264679061e-11,18.938196182250977,4.8831197119123586e-18,0.7427318692207336,0.20106297618980853,0.14139947,0.07574558,0.06565389,0.4718974227052711,3.5257329656367596e-08,1.8751179693743457e-15
2,7,L02H07,0.7323305606842041,0.7673777937889099,-0.1646930564688653,1.2259474848238654e-07,20.712465286254883,9.679062006037747e-20,0.7323305606842041,0.1646930564688653,1.6316379,0.9784778,0.65316015,0.4485118085765347,4.707638341723643e-05,3.716759810318495e-17
2,11,L02H11,-0.6559814810752869,-0.6820050477981567,0.2409538869438924,6.130401845680062e-15,16.776540756225586,5.955818994994415e-16,0.6559814810752869,0.2409538869438924,0.2922319,0.42991382,-0.13768193,0.44846768400958964,2.354074308741144e-12,2.2870344940778553e-13
7,0,L07H00,0.7374655604362488,1.1558226346969604,-0.15008855209720112,1.4729981089650096e-06,53.59178161621094,0.0,0.7374655604362488,0.15008855209720112,0.45397168,0.2963199,0.15765178,0.4437770562667249,0.0005656312738425637,0.0
8,8,L08H08,-0.8038331270217896,-0.3030005693435669,0.07670135063079886,0.014275656229193578,4.421392440795898,0.0005466124275699258,0.8038331270217896,0.07670135063079886,0.00013994925,0.0005154883,-0.00037553906,0.4402672388262942,1.0,0.2098991721868515
