config,layer,direction,n,mean_delta,median_delta,std_delta,wilcoxon_stat,wilcoxon_p,t_stat,t_p,significant,effect_sign
H→T5 (human→min-evidence),0,forward,35,4.5900229952167135e-05,9.404271077073645e-05,0.0002674922208238634,231.0,0.16881868501475328,1.0151675500068005,0.31719597707231045,False,+
H→T5 (human→min-evidence),0,reverse,35,-0.004368401456805973,-0.002180049383241567,0.0067752042689596965,7.0,4.526487119192425e-07,-3.814469721817101,0.0005492505526930495,True,-
H→T5 (human→min-evidence),4,forward,35,-9.362450683901054e-05,0.00011091644046246074,0.0005039405430127305,303.0,0.844161866358315,-1.099117861804879,0.2794388235207916,False,-
H→T5 (human→min-evidence),4,reverse,35,-0.002200402669248953,-0.0010290296922903508,0.0033495364693377685,32.0,3.5548810922158537e-06,-3.886435590532885,0.0004478479094476968,True,-
H→T5 (human→min-evidence),5,forward,35,0.0002604245388023888,0.00022041617376089562,0.00016800949629990582,3.0,3.2064038355877155e-07,9.170269436923,1.0215566710589221e-10,True,+
H→T5 (human→min-evidence),5,reverse,35,-0.0009964773699071624,-0.0007021450364845805,0.0018202975391144935,104.0,0.0005474323921726877,-3.238613191386203,0.002683229484470432,True,-
H→T5 (human→min-evidence),7,forward,35,3.7370567276541675e-05,3.98993979615625e-05,4.22641059261494e-05,70.0,5.986023067747599e-05,5.231088004890752,8.610308467158459e-06,True,+
H→T5 (human→min-evidence),7,reverse,35,-0.0007417692943688183,-0.0005173510580789298,0.0008871597701056072,29.0,2.7998070404006093e-06,-4.946534405653949,2.0147214328623333e-05,True,-
H→T5 (human→min-evidence),11,forward,35,0.0,0.0,0.0,0.0,,,,False,-
H→T5 (human→min-evidence),11,reverse,35,0.0,0.0,0.0,0.0,,,,False,-
H→T4 (human→welfare+),0,forward,25,0.0003909071077691806,0.0003938303921131592,0.00034734872451760545,20.0,0.00012551184181410697,5.627012281563269,8.582672806324109e-06,True,+
H→T4 (human→welfare+),0,reverse,25,-0.0016471311017562584,-0.0020116282157687237,0.0007229360026618539,1.0,1.3835874875457989e-05,-11.391956519605563,3.6388809053068005e-11,True,-
H→T4 (human→welfare+),4,forward,25,-0.00012715302451397293,-8.620734843134414e-05,0.00044128907525118065,104.0,0.11539255949990355,-1.4406998909002873,0.16258933368680994,False,-
H→T4 (human→welfare+),4,reverse,25,-0.000978385272246669,-0.0010887245225603692,0.0006960215330150988,10.0,4.0565897949807726e-05,-7.028412382648548,2.882623993747232e-07,True,-
H→T4 (human→welfare+),5,forward,25,0.00021377180601120927,0.0002409385897408356,0.00021204665162283313,29.0,0.00032703608711230994,5.04067865196581,3.749817473521814e-05,True,+
H→T4 (human→welfare+),5,reverse,25,-0.00031323768191214183,-0.0004939280479447916,0.00047811539105317057,56.0,0.004153862336017949,-3.275754010158053,0.00319531498540639,True,-
H→T4 (human→welfare+),7,forward,25,2.2764666646253317e-05,1.0378769729868509e-05,5.088557083191589e-05,90.0,0.05103413907980958,2.236848901769135,0.034849879079425695,False,+
H→T4 (human→welfare+),7,reverse,25,-0.0005276964581571519,-0.00047926444676704705,0.00045107258019643794,0.0,1.223471913060967e-05,-5.849351981529723,4.94059306577568e-06,True,-
H→T4 (human→welfare+),11,forward,25,0.0,0.0,0.0,0.0,,,,False,-
H→T4 (human→welfare+),11,reverse,25,0.0,0.0,0.0,0.0,,,,False,-
H→T3 (human→vertebrate),0,forward,20,0.0011182306984608204,0.0009208214570435302,0.0013435238733259056,41.0,0.01684269442735731,3.7222112772668527,0.0014447005355134417,True,+
H→T3 (human→vertebrate),0,reverse,20,-0.0016025704469086576,-0.0019991706963082834,0.0008277388375246361,0.0,8.807368035275503e-05,-8.658422912077802,5.077312492906973e-08,True,-
