layer,frac_depth,probe_6,probe_binary,probe_f1,gen_w2n,spearman_r,shuffle_mean,shuffle_95
0,0.0,1.0,1.0,1.0,1.0,0.15917118311863587,0.16826666666666668,0.1789666666666667
1,0.043478260869565216,1.0,1.0,1.0,1.0,0.006263679036575395,0.16999999999999998,0.18203333333333335
2,0.08695652173913043,1.0,1.0,1.0,1.0,0.23809553007942635,0.17003333333333334,0.1861666666666667
3,0.13043478260869565,1.0,1.0,1.0,1.0,0.27868138877727455,0.17003333333333334,0.18350000000000002
4,0.17391304347826086,1.0,1.0,1.0,1.0,0.6377646768955666,0.1694666666666667,0.18550000000000003
5,0.21739130434782608,1.0,1.0,1.0,1.0,0.48624000575936394,0.17220000000000002,0.19073333333333334
6,0.2608695652173913,1.0,1.0,1.0,1.0,0.5269504025823649,0.17033333333333336,0.18936666666666668
7,0.30434782608695654,1.0,1.0,1.0,1.0,0.39643455137622763,0.16883333333333334,0.1784666666666667
8,0.34782608695652173,1.0,1.0,1.0,1.0,0.40706431219604833,0.1688,0.1822666666666667
9,0.3913043478260869,1.0,1.0,1.0,1.0,0.40610506775264466,0.1690666666666667,0.18336666666666668
10,0.43478260869565216,1.0,1.0,1.0,1.0,0.40621595325151716,0.17019999999999996,0.18736666666666668
11,0.4782608695652174,1.0,1.0,1.0,1.0,0.31394843079005585,0.16883333333333334,0.18356666666666668
12,0.5217391304347826,1.0,1.0,1.0,1.0,0.2981603321017832,0.16873333333333335,0.17883333333333334
13,0.5652173913043478,1.0,1.0,1.0,1.0,0.39288266735122823,0.16670000000000001,0.18073333333333333
14,0.6086956521739131,1.0,1.0,1.0,1.0,0.3501412466225244,0.16616666666666668,0.17956666666666668
15,0.6521739130434783,1.0,1.0,1.0,1.0,0.19833539263363809,0.16773333333333335,0.1821666666666667
16,0.6956521739130435,1.0,1.0,1.0,1.0,0.19961282964097368,0.17003333333333334,0.1834
17,0.7391304347826086,1.0,1.0,1.0,1.0,0.2148997028473181,0.16856666666666664,0.18343333333333334
18,0.7826086956521738,1.0,1.0,1.0,1.0,0.35534298322563906,0.16796666666666665,0.18156666666666668
19,0.8260869565217391,1.0,1.0,1.0,1.0,0.3437369665421515,0.1698,0.18143333333333334
20,0.8695652173913043,1.0,1.0,1.0,1.0,0.342300914170402,0.16793333333333335,0.1781666666666667
21,0.9130434782608695,1.0,1.0,1.0,1.0,0.3490820428469417,0.16676666666666665,0.18113333333333334
22,0.9565217391304348,1.0,1.0,1.0,1.0,0.30753696454914103,0.1680666666666667,0.18420000000000003
23,1.0,1.0,1.0,1.0,1.0,0.30212605213639293,0.16853333333333334,0.19000000000000003
