layer,sim_to_T1,sim_to_T2,sim_to_T3,sim_to_T4,sim_to_T5,sim_to_T6,sentience_pull,sim_to_squid
0,0.41018075,0.44956222,0.45183,0.45989576,0.43881837,0.43076152,0.010743856,0.43648148
1,0.5640317,0.58425003,0.5914731,0.59976304,0.5675952,0.57545024,0.016654849,0.54712504
2,0.566295,0.6141073,0.6222547,0.64735806,0.60162514,0.5861554,0.012482166,0.60341805
3,0.6014723,0.6622394,0.66763324,0.6967609,0.65276647,0.6331069,0.009472907,0.6897525
4,0.6678493,0.72637236,0.73282725,0.7704576,0.7255817,0.6994081,0.0007906556,0.7707531
5,0.75038415,0.7957793,0.80789006,0.84030163,0.79808056,0.7827309,-0.0023012757,0.82540053
6,0.79730886,0.8402446,0.8483555,0.8745944,0.8415786,0.8333558,-0.0013340116,0.8694288
7,0.88164777,0.9068159,0.9103626,0.92566353,0.9054767,0.90026057,0.0013391972,0.92222506
8,0.86812913,0.8949126,0.89393914,0.9108531,0.8841812,0.88396627,0.010731399,0.89754826
9,0.82890636,0.87566864,0.8723464,0.89096206,0.863324,0.85272026,0.012344658,0.8658831
10,0.81999075,0.85851115,0.8490647,0.8833454,0.8410865,0.8328053,0.017424643,0.8557787
11,0.98118335,0.9813876,0.9805633,0.98498017,0.98063123,0.981339,0.00075638294,0.98238975
