layer,partial_r_sent_tax,p_sent_tax,partial_r_tax_sent,p_tax_sent
0,0.11521814485954539,1.1811184199572722e-06,0.16387776432213008,4.071631920510299e-12
1,0.10567254944425834,8.433769708160455e-06,0.13939329259383804,3.9224816728022915e-09
2,0.2322427402515202,0.0,0.15425810868883885,6.914224748300057e-11
3,0.25937583870945746,0.0,0.12775820197647791,6.977342237313167e-08
4,0.30321893602729394,0.0,0.07845680343097076,0.0009578893464325944
5,0.32248317894344325,0.0,0.03871661652921852,0.10355454800401898
6,0.33215778442249294,0.0,-0.009519589013883799,0.6890717923663634
7,0.3477368020076065,0.0,0.03402146341007765,0.1526229816397091
8,0.29308489809981936,0.0,0.041347477577410086,0.0821108299016855
9,0.3331015788503264,0.0,0.026230171315112974,0.27018470206801837
10,0.23354020924975372,0.0,0.09053933412974591,0.00013719043919757645
11,0.11993615182819295,4.211115607333227e-07,0.0720624476543242,0.0024236823567740373
