layer,r_sentience,p_sentience,r_taxonomic,p_taxonomic,r_tier,p_tier,r_sent_unique,p_sent_corrected,p_tax_corrected,p_tier_corrected
0,0.21015280603377404,4.0670077820531456e-19,0.23941546485821108,1.7106870692289263e-24,0.22305310937082276,2.1515958357226867e-21,-0.029262658824437043,2.928245603078265e-17,1.231694689844827e-22,1.5491490017203346e-19
1,0.18832698087016925,1.358559094217027e-15,0.20863310592907428,7.377177241871543e-19,0.20231283756846494,8.356423353498452e-18,-0.020306125058905028,9.781625478362595e-14,5.311567614147511e-17,6.016624814518885e-16
2,0.32786706693022366,1.2573820664858677e-45,0.2811798130743303,1.6068381164973848e-33,0.3441158552377163,2.253494191358186e-50,0.04668725385589334,9.053150878698248e-44,1.156923443878117e-31,1.622515817777894e-48
3,0.34498618492905536,1.2316879016577353e-50,0.2662485275679476,4.1855252664957535e-30,0.3681456459469927,6.265580152288698e-58,0.07873765736110777,8.868152891935694e-49,3.0135781918769424e-28,4.511217709647863e-56
4,0.3707016034974724,9.002952272161901e-59,0.23649487879976683,6.368670179271816e-24,0.3950420064114885,3.470814182664462e-67,0.13420672469770556,6.482125635956569e-57,4.585442529075708e-22,2.4989862115184125e-65
5,0.37500988994578827,3.287115301358826e-60,0.20573527194693514,2.267182565403567e-18,0.39647395791156603,1.0542063250776029e-67,0.16927461799885313,2.3667230169783546e-58,1.6323714470905682e-16,7.590285540558741e-66
6,0.36535853697691345,5.094184939018703e-57,0.1616111991882477,7.952203134382576e-12,0.38759694138566747,1.5494790804570518e-64,0.20374733778866574,3.6678131560934665e-55,5.725586256755455e-10,1.1156249379290772e-62
7,0.3998239881302266,6.341820431188896e-69,0.2130742936179746,1.2778298748755447e-19,0.4218515301076673,2.6171037618439986e-77,0.186749694512252,4.566110710456005e-67,9.200375099103921e-18,1.884314708527679e-75
8,0.3448355689641742,1.36761147903313e-50,0.19432684108382567,1.6029819254541045e-16,0.3576789057717687,1.474107069486498e-54,0.15050872788034855,9.846802649038536e-49,1.1541469863269552e-14,1.0613570900302786e-52
9,0.3812206275268566,2.5453222463190603e-62,0.19830222312709092,3.742110862155631e-17,0.39635275226549604,1.1663482037976347e-67,0.18291840439976567,1.8326320173497235e-60,2.6943198207520542e-15,8.39770706734297e-66
10,0.3025232616951164,8.823223742555822e-39,0.2167701164542739,2.882292338674659e-20,0.31549324870358675,3.351329873987531e-42,0.08575314524084249,6.352721094640191e-37,2.0752504838457545e-18,2.412957509271022e-40
11,0.1711727439765579,4.169138605045875e-13,0.1422937908686271,1.8225035870538047e-09,0.18530530278845744,3.881568325746181e-15,0.028878953107930816,3.0017797956330304e-11,1.3122025826787395e-07,2.7947291945372506e-13
