entity,tier,tier_rank,prompt_id,group,welfare_neg_mean,welfare_pos_mean,neutral_mean,salience_index,suffering_bias
ant,T5,5,P01,appearance_state,0.0010343024041503668,0.0016065071904449724,,-0.0005722047862946056,0.39166109025847723
ant,T5,5,P02,researcher_observation,8.407136556343175e-05,0.00031948654213920236,0.021774325985461473,-0.0002354151765757706,0.20832535585659995
ant,T5,5,P03,moral_framing,0.0008105235756374896,,0.0036648926325142384,,
ant,T5,5,P04,care_intervention,0.009327092673629522,,0.018914571031928062,,
ant,T5,5,P05,emotional_attribution,0.004576525650918484,0.009928743354976177,0.003989419259596616,-0.0053522177040576935,0.3155078073704039
ant,T5,5,P06,policy_framing,0.0054677752389883,,0.003484438668237999,,
ant,T5,5,P07,consciousness_probe,0.0012245255456946325,,0.00779149035224691,,
ant,T5,5,P08,neutral_baseline,,,0.005558588309213519,,
aphid,T5,5,P01,appearance_state,0.0017480041897215415,0.0027281918009975925,,-0.000980187611276051,0.3905110844776936
aphid,T5,5,P02,researcher_observation,4.44916859123623e-05,0.00028096708228986245,0.011063739657402039,-0.00023647539637750015,0.13670448176178526
aphid,T5,5,P03,moral_framing,0.0005964945497301718,,0.003919003996998072,,
aphid,T5,5,P04,care_intervention,0.007277928525581956,,0.02499265968799591,,
aphid,T5,5,P05,emotional_attribution,0.0055159209490132826,0.016156889498233795,0.00266152698895894,-0.010640968549220513,0.2545087974163981
aphid,T5,5,P06,policy_framing,0.007109176522741715,,0.013779907967546023,,
aphid,T5,5,P07,consciousness_probe,0.00016177127690752968,,0.0035857674665749073,,
aphid,T5,5,P08,neutral_baseline,,,0.0037484444677829743,,
bacterium,T6,6,P01,appearance_state,0.00010950008109489318,0.0005137427817771822,,-0.00040424270068228907,0.175694051305909
bacterium,T6,6,P02,researcher_observation,1.178679175003102e-05,0.00033830235497589456,0.0011612442904151976,-0.00032651556322586356,0.03366796284165377
bacterium,T6,6,P03,moral_framing,6.0461041963814445e-05,,0.00491953115852084,,
bacterium,T6,6,P04,care_intervention,0.0032114164205268025,,0.016411009011790156,,
bacterium,T6,6,P05,emotional_attribution,0.0007936039182823151,0.0024305954575538635,0.003116641310043633,-0.0016369915392715484,0.2461398322994573
bacterium,T6,6,P06,policy_framing,0.003237262135371566,,0.003045107761863619,,
bacterium,T6,6,P07,consciousness_probe,6.470658991020173e-05,,0.011799346839931482,,
bacterium,T6,6,P08,neutral_baseline,,,0.0016168944741366432,,
bee,T4,4,P01,appearance_state,0.00256010759039782,0.0018707243871176615,,0.0006893832032801583,0.5777938648113606
bee,T4,4,P02,researcher_observation,0.00011478789141013597,0.0008458081720164046,0.011804383946582675,-0.0007310202806062686,0.11949651245813467
bee,T4,4,P03,moral_framing,0.0017539703646131481,,0.002402394893579185,,
bee,T4,4,P04,care_intervention,0.03525285981595516,,0.013646005652844906,,
bee,T4,4,P05,emotional_attribution,0.005944887486596902,0.004056298173964024,0.003538187185768038,0.0018885893126328783,0.5944182648861707
bee,T4,4,P06,policy_framing,0.0073618622263893485,,0.0068280700070317835,,
bee,T4,4,P07,consciousness_probe,0.0012940766609972343,,0.010310101555660367,,
bee,T4,4,P08,neutral_baseline,,,0.004033901274669916,,
beetle,T5,5,P01,appearance_state,0.0020476481004152447,0.0018863734003389254,,0.00016127470007631928,0.5204974217789504
beetle,T5,5,P02,researcher_observation,5.707857538557922e-05,9.960567422240274e-05,0.007543387357145548,-4.252709883682352e-05,0.36429021487077395
beetle,T5,5,P03,moral_framing,0.0014376139539914827,,0.004604363348335028,,
beetle,T5,5,P04,care_intervention,0.012380368076264858,,0.03672905545681715,,
beetle,T5,5,P05,emotional_attribution,0.004438219892714794,0.008237713016569614,0.0038850155542604625,-0.0037994931238548206,0.3501296424858073
beetle,T5,5,P06,policy_framing,0.006156737295289834,,0.01693296735174954,,
beetle,T5,5,P07,consciousness_probe,0.0001819021490518935,,0.007354367718410988,,
